Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2600,437,7,655,116.49,0.000%,404.04040,30.30,70.67,76.8
TOTAL,2600,437,7,655,116.49,0.000%,404.04040,30.30,70.67,76.8
